variant,val_acc,val_error
trl_baseline,0.9690999984741211,0.030900001525878906
trl_last_layer_head,0.9632999897003174,0.03670001029968262
trl_trace,0.954200029373169,0.045799970626831055
trl_lateral_shift,0.9164999723434448,0.08350002765655518
trl_trace_fast,0.9710999727249146,0.02890002727508545
trl_lateral_shift_cov_target,0.9517999887466431,0.048200011253356934
trl_trace_lateral_shift_fast_cov,0.9336000084877014,0.06639999151229858
trl_trace_lateral_shift_last_layer,0.9120000004768372,0.08799999952316284
trls_baseline,0.9657999873161316,0.03420001268386841
trls_shift_shiftcov_last_layer,0.9289000034332275,0.07109999656677246
trls_tracefast_shift_shiftcov_last_layer,0.9204000234603882,0.07959997653961182
